,id,season,date,arena,H_team,A_team_id,A_team,A_team_id,H_score,A_score,ref1,ref2,ref3,ties,leadChange,nugget
404,9741,2018,2021-11-13T00:30:00.000Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,7,Detroit Pistons,10,98,78,Scott Foster,Brent Barnaky,Dannica Mosher,,,
405,9742,2018,2021-11-13T01:00:00.000Z,Toyota Center,Houston Rockets,14,Portland Trail Blazers,29,92,104,Tony Brothers,Matt Boland,Jenna Schroeder,,,
406,9743,2018,2021-11-13T01:00:00.000Z,FedExForum,Memphis Grizzlies,19,Phoenix Suns,28,94,119,David Guthrie,Mark Lindsay,Jonathan Sterling,,,
407,9744,2018,2021-11-13T01:00:00.000Z,Smoothie King Center,New Orleans Pelicans,23,Brooklyn Nets,4,112,120,Tom Washington,Natalie Sago,Phenizee Ransom,,,
408,9745,2018,2021-11-13T01:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,Sacramento Kings,30,105,103,Marc Davis,Justin Van Duyne,Aaron Smith,,,
409,9746,2018,2021-11-13T01:30:00.000Z,AT&T Center,San Antonio Spurs,31,Dallas Mavericks,8,109,123,JB DeRosa,Rodney Mott,Evan Scott,,,
410,9747,2018,2021-11-13T02:00:00.000Z,Ball Arena,Denver Nuggets,9,Atlanta Hawks,1,105,96,Sean Wright,Karl Lane,Ray Acosta,,,
411,9748,2018,2021-11-13T03:00:00.000Z,Chase Center,Golden State Warriors,11,Chicago Bulls,6,119,93,Josh Tiven,Nick Buchert,J.T. Orr,,,
412,9749,2018,2021-11-13T03:30:00.000Z,STAPLES Center,Los Angeles Lakers,17,Minnesota Timberwolves,22,83,107,Derek Richardson,Curtis Blair,Brett Nansel,,,
413,9750,2018,2021-11-13T22:00:00.000Z,Vivint Arena,Utah Jazz,40,Miami Heat,20,105,111,Scott Wall,Bennie Adams,Pat Fraher,,,
414,9751,2018,2021-11-14T00:00:00.000Z,Gainbridge Fieldhouse,Indiana Pacers,15,Philadelphia 76ers,27,118,113,Kevin Scott,Mitchell Ervin,John Butler,,,
415,9752,2018,2021-11-14T00:00:00.000Z,Amway Center,Orlando Magic,26,Washington Wizards,41,92,104,Sean Corbin,Michael Smith,Suyash Mehta,,,
416,9753,2018,2021-11-14T00:00:00.000Z,Smoothie King Center,New Orleans Pelicans,23,Memphis Grizzlies,19,112,101,JB DeRosa,Ben Taylor,Scott Twardoski,,,
417,9754,2018,2021-11-14T00:30:00.000Z,Scotiabank Arena,Toronto Raptors,38,Detroit Pistons,10,121,127,Eric Lewis,Andy Nagy,Jacyn Goble,,,
418,9755,2018,2021-11-14T01:00:00.000Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,7,Boston Celtics,2,91,89,James Williams,Gediminas Petraitis,John Conley,,,
419,9756,2018,2021-11-14T03:30:00.000Z,STAPLES Center,LA Clippers,16,Minnesota Timberwolves,22,129,102,Ed Malloy,Nick Buchert,Brandon Schwab,,,
420,9757,2018,2021-11-14T20:30:00.000Z,STAPLES Center,Los Angeles Lakers,17,San Antonio Spurs,31,114,106,Bill Kennedy,Kevin Cutler,Danielle Scott,,,
421,9758,2018,2021-11-14T23:00:00.000Z,State Farm Arena,Atlanta Hawks,1,Milwaukee Bucks,21,120,100,Tony Brothers,Marat Kogut,Justin Van Duyne,,,
422,9759,2018,2021-11-15T00:00:00.000Z,Spectrum Center,Charlotte Hornets,5,Golden State Warriors,11,106,102,David Guthrie,Mark Lindsay,Jamahl Ralls,,,
423,9760,2018,2021-11-15T00:00:00.000Z,Toyota Center,Houston Rockets,14,Phoenix Suns,28,89,115,Derrick Collins,Brian Forte,Scott Twardoski,,,
424,9761,2018,2021-11-15T00:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,Brooklyn Nets,4,96,120,Rodney Mott,Ray Acosta,Evan Scott,,,
425,9762,2018,2021-11-15T01:00:00.000Z,Ball Arena,Denver Nuggets,9,Portland Trail Blazers,29,124,95,Derek Richardson,Marc Davis,Brett Nansel,,,
426,9763,2018,2021-11-15T02:30:00.000Z,STAPLES Center,LA Clippers,16,Chicago Bulls,6,90,100,Leon Wood,Matt Boland,Curtis Blair,,,
427,9764,2018,2021-11-16T00:00:00.000Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,7,Boston Celtics,2,92,98,Tony Brothers,Marat Kogut,Phenizee Ransom,,,
428,9765,2018,2021-11-16T00:00:00.000Z,Little Caesars Arena,Detroit Pistons,10,Sacramento Kings,30,107,129,Zach Zarba,Brandon Adair,Jenna Schroeder,,,
429,9766,2018,2021-11-16T00:00:00.000Z,Capital One Arena,Washington Wizards,41,New Orleans Pelicans,23,105,100,Sean Wright,Karl Lane,Matt Myers,,,
430,9767,2018,2021-11-16T00:30:00.000Z,State Farm Arena,Atlanta Hawks,1,Orlando Magic,26,129,111,Kane Fitzgerald,Gediminas Petraitis,Andy Nagy,,,
431,9768,2018,2021-11-16T00:30:00.000Z,Madison Square Garden,New York Knicks,24,Indiana Pacers,15,92,84,Sean Corbin,JB DeRosa,Lauren Holtkamp,,,
432,9769,2018,2021-11-16T01:00:00.000Z,American Airlines Center,Dallas Mavericks,8,Denver Nuggets,9,111,101,Derrick Collins,Kevin Scott,CJ Washington,,,
433,9770,2018,2021-11-16T01:00:00.000Z,FedExForum,Memphis Grizzlies,19,Houston Rockets,14,136,102,Tyler Ford,Natalie Sago,John Butler,,,
434,9771,2018,2021-11-16T01:00:00.000Z,Target Center,Minnesota Timberwolves,22,Phoenix Suns,28,96,99,James Capers,Cheryl Flores,Aaron Smith,,,
435,9772,2018,2021-11-16T01:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,Miami Heat,20,90,103,Courtney Kirkland,Brent Barnaky,Matt Kallio,,,
436,9773,2018,2021-11-16T03:00:00.000Z,Moda Center,Portland Trail Blazers,29,Toronto Raptors,38,118,113,Ed Malloy,Nick Buchert,Brandon Schwab,,,
437,9774,2018,2021-11-16T03:30:00.000Z,STAPLES Center,Los Angeles Lakers,17,Chicago Bulls,6,103,121,Scott Wall,Bennie Adams,Pat Fraher,,,
438,9775,2018,2021-11-17T00:30:00.000Z,Barclays Center,Brooklyn Nets,4,Golden State Warriors,11,99,117,Eric Lewis,Mitchell Ervin,Justin Van Duyne,,,
439,9776,2018,2021-11-17T03:00:00.000Z,Vivint Arena,Utah Jazz,40,Philadelphia 76ers,27,120,85,Scott Foster,Matt Boland,Kevin Cutler,,,
440,9777,2018,2021-11-17T03:30:00.000Z,STAPLES Center,LA Clippers,16,San Antonio Spurs,31,106,92,Marc Davis,Scott Twardoski,Dedric Taylor,,,
441,9778,2018,2021-11-18T00:00:00.000Z,Spectrum Center,Charlotte Hornets,5,Washington Wizards,41,97,87,Kane Fitzgerald,Ray Acosta,Dannica Mosher,,,
442,9779,2018,2021-11-18T00:00:00.000Z,Little Caesars Arena,Detroit Pistons,10,Indiana Pacers,15,97,89,James Capers,Michael Smith,Matt Myers,,,
443,9780,2018,2021-11-18T00:30:00.000Z,State Farm Arena,Atlanta Hawks,1,Boston Celtics,2,110,99,Leon Wood,Zach Zarba,Suyash Mehta,,,
444,9781,2018,2021-11-18T00:30:00.000Z,Barclays Center,Brooklyn Nets,4,Cleveland Cavaliers,7,109,99,Karl Lane,Ben Taylor,Andy Nagy,,,
445,9782,2018,2021-11-18T00:30:00.000Z,FTX Arena,Miami Heat,20,New Orleans Pelicans,23,113,98,Brian Forte,Marat Kogut,Jonathan Sterling,,,
446,9783,2018,2021-11-18T00:30:00.000Z,Madison Square Garden,New York Knicks,24,Orlando Magic,26,98,104,Derek Richardson,Courtney Kirkland,Nate Green,,,
447,9784,2018,2021-11-18T00:30:00.000Z,Fiserv Forum,Milwaukee Bucks,21,Los Angeles Lakers,17,109,102,David Guthrie,Brent Barnaky,Brandon Adair,,,
448,9785,2018,2021-11-18T01:00:00.000Z,Target Center,Minnesota Timberwolves,22,Sacramento Kings,30,107,97,Mark Lindsay,James Williams,John Butler,,,
449,9786,2018,2021-11-18T01:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,Houston Rockets,14,101,89,Tom Washington,J.T. Orr,CJ Washington,,,
450,9787,2018,2021-11-18T03:00:00.000Z,Footprint Center,Phoenix Suns,28,Dallas Mavericks,8,105,98,Scott Wall,Pat Fraher,Tre Maddox,,,
451,9788,2018,2021-11-18T03:00:00.000Z,Moda Center,Portland Trail Blazers,29,Chicago Bulls,6,112,107,Scott Foster,Natalie Sago,Mousa Dagher,,,
452,9789,2018,2021-11-19T00:30:00.000Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,7,Golden State Warriors,11,89,104,Bennie Adams,Ed Malloy,Lauren Holtkamp,,,
453,9790,2018,2021-11-19T00:30:00.000Z,FTX Arena,Miami Heat,20,Washington Wizards,41,112,97,Nick Buchert,Jacyn Goble,Brandon Schwab,,,
454,9791,2018,2021-11-19T01:00:00.000Z,FedExForum,Memphis Grizzlies,19,LA Clippers,16,120,108,Zach Zarba,Mitchell Ervin,John Conley,,,
455,9792,2018,2021-11-19T01:00:00.000Z,Target Center,Minnesota Timberwolves,22,San Antonio Spurs,31,115,90,Sean Corbin,Matt Boland,Brandon Adair,,,
456,9793,2018,2021-11-19T02:00:00.000Z,Ball Arena,Denver Nuggets,9,Philadelphia 76ers,27,89,103,Pat Fraher,Scott Twardoski,John Butler,,,
457,9794,2018,2021-11-19T02:00:00.000Z,Vivint Arena,Utah Jazz,40,Toronto Raptors,38,119,103,Marc Davis,Dedric Taylor,Natalie Sago,,,
458,9795,2018,2021-11-20T00:00:00.000Z,Spectrum Center,Charlotte Hornets,5,Indiana Pacers,15,121,118,Brian Forte,Marat Kogut,Justin Van Duyne,,,
459,9796,2018,2021-11-20T00:00:00.000Z,Little Caesars Arena,Detroit Pistons,10,Golden State Warriors,11,102,105,Brent Barnaky,Josh Tiven,Nate Green,,,
460,9797,2018,2021-11-20T00:30:00.000Z,TD Garden,Boston Celtics,2,Los Angeles Lakers,17,130,108,Sean Wright,Tyler Ford,Ray Acosta,,,
461,9798,2018,2021-11-20T00:30:00.000Z,Barclays Center,Brooklyn Nets,4,Orlando Magic,26,115,113,Leon Wood,Curtis Blair,Jonathan Sterling,,,
462,9799,2018,2021-11-20T01:00:00.000Z,Fiserv Forum,Milwaukee Bucks,21,Oklahoma City Thunder,25,96,89,Eric Lewis,Matt Myers,Gediminas Petraitis,,,
463,9800,2018,2021-11-20T01:00:00.000Z,Smoothie King Center,New Orleans Pelicans,23,LA Clippers,16,94,81,James Capers,Scott Wall,Suyash Mehta,,,
464,9801,2018,2021-11-20T02:00:00.000Z,Ball Arena,Denver Nuggets,9,Chicago Bulls,6,108,114,JB DeRosa,Scott Twardoski,James Williams,,,
465,9802,2018,2021-11-20T03:00:00.000Z,Footprint Center,Phoenix Suns,28,Dallas Mavericks,8,112,104,Bill Kennedy,Kevin Cutler,Evan Scott,,,
466,9803,2018,2021-11-20T03:00:00.000Z,Golden 1 Center,Sacramento Kings,30,Toronto Raptors,38,89,108,Rodney Mott,Brett Nansel,Aaron Smith,,,
467,9804,2018,2021-11-20T22:00:00.000Z,Madison Square Garden,New York Knicks,24,Houston Rockets,14,106,99,Bennie Adams,Curtis Blair,Karl Lane,,,
468,9805,2018,2021-11-21T00:00:00.000Z,Gainbridge Fieldhouse,Indiana Pacers,15,New Orleans Pelicans,23,111,94,Josh Tiven,Brandon Adair,Jenna Schroeder,,,
469,9806,2018,2021-11-21T00:00:00.000Z,Capital One Arena,Washington Wizards,41,Miami Heat,20,103,100,Scott Foster,Andy Nagy,Jacyn Goble,,,
470,9807,2018,2021-11-21T00:30:00.000Z,State Farm Arena,Atlanta Hawks,1,Charlotte Hornets,5,115,105,Courtney Kirkland,Brian Forte,Brandon Schwab,,,
471,9808,2018,2021-11-21T00:30:00.000Z,TD Garden,Boston Celtics,2,Oklahoma City Thunder,25,111,105,Derek Richardson,Mark Lindsay,Nick Buchert,,,
472,9809,2018,2021-11-21T01:00:00.000Z,Fiserv Forum,Milwaukee Bucks,21,Orlando Magic,26,117,108,Sean Corbin,Mitchell Ervin,Ray Acosta,,,
473,9810,2018,2021-11-21T01:00:00.000Z,Target Center,Minnesota Timberwolves,22,Memphis Grizzlies,19,138,95,Ben Taylor,Gediminas Petraitis,Suyash Mehta,,,
474,9811,2018,2021-11-21T03:00:00.000Z,Moda Center,Portland Trail Blazers,29,Philadelphia 76ers,27,118,111,Marc Davis,Brett Nansel,Dedric Taylor,,,
475,9812,2018,2021-11-21T03:00:00.000Z,Golden 1 Center,Sacramento Kings,30,Utah Jazz,40,105,123,Tre Maddox,Lauren Holtkamp,Mousa Dagher,,,
476,9813,2018,2021-11-21T20:30:00.000Z,STAPLES Center,LA Clippers,16,Dallas Mavericks,8,97,91,JB DeRosa,James Williams,Nate Green,,,
477,9814,2018,2021-11-21T23:00:00.000Z,Little Caesars Arena,Detroit Pistons,10,Los Angeles Lakers,17,116,121,Scott Foster,Justin Van Duyne,Phenizee Ransom,,,
478,9815,2018,2021-11-22T01:00:00.000Z,United Center,Chicago Bulls,6,New York Knicks,24,109,103,Sean Wright,Marat Kogut,Jonathan Sterling,,,
479,9816,2018,2021-11-22T01:00:00.000Z,Footprint Center,Phoenix Suns,28,Denver Nuggets,9,126,97,Kane Fitzgerald,Natalie Sago,Mousa Dagher,,,
480,9817,2018,2021-11-22T01:30:00.000Z,Chase Center,Golden State Warriors,11,Toronto Raptors,38,119,104,Bill Kennedy,Aaron Smith,Evan Scott,,,
481,9818,2018,2021-11-23T00:00:00.000Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,7,Brooklyn Nets,4,112,117,Courtney Kirkland,Justin Van Duyne,Jenna Schroeder,,,
482,9819,2018,2021-11-23T00:00:00.000Z,Capital One Arena,Washington Wizards,41,Charlotte Hornets,5,103,109,Derek Richardson,Mark Lindsay,John Conley,,,
483,9820,2018,2021-11-23T00:30:00.000Z,State Farm Arena,Atlanta Hawks,1,Oklahoma City Thunder,25,113,101,Matt Boland,Curtis Blair,Phenizee Ransom,,,
484,9821,2018,2021-11-23T00:30:00.000Z,TD Garden,Boston Celtics,2,Houston Rockets,14,108,90,Michael Smith,Brian Forte,Matt Myers,,,
485,9822,2018,2021-11-23T01:00:00.000Z,United Center,Chicago Bulls,6,Indiana Pacers,15,77,109,Leon Wood,Pat Fraher,Jamahl Ralls,,,
486,9823,2018,2021-11-23T01:00:00.000Z,Fiserv Forum,Milwaukee Bucks,21,Orlando Magic,26,123,92,Rodney Mott,Suyash Mehta,Jacyn Goble,,,
487,9824,2018,2021-11-23T01:00:00.000Z,Smoothie King Center,New Orleans Pelicans,23,Minnesota Timberwolves,22,96,110,Brent Barnaky,Tyler Ford,Danielle Scott,,,
488,9825,2018,2021-11-23T01:30:00.000Z,AT&T Center,San Antonio Spurs,31,Phoenix Suns,28,111,115,Tre Maddox,Mitchell Ervin,Andy Nagy,,,
489,9826,2018,2021-11-23T02:00:00.000Z,Vivint Arena,Utah Jazz,40,Memphis Grizzlies,19,118,119,Brett Nansel,James Williams,Dedric Taylor,,,
490,9827,2018,2021-11-23T03:00:00.000Z,Golden 1 Center,Sacramento Kings,30,Philadelphia 76ers,27,94,102,JB DeRosa,Kevin Cutler,John Butler,,,
491,9828,2018,2021-11-24T00:00:00.000Z,Little Caesars Arena,Detroit Pistons,10,Miami Heat,20,92,100,Ed Malloy,Karl Lane,Matt Kallio,,,
492,9829,2018,2021-11-24T00:30:00.000Z,Madison Square Garden,New York Knicks,24,Los Angeles Lakers,17,106,100,Scott Wall,Josh Tiven,Nick Buchert,,,
493,9830,2018,2021-11-24T03:00:00.000Z,Moda Center,Portland Trail Blazers,29,Denver Nuggets,9,119,100,David Guthrie,Aaron Smith,Brandon Adair,,,
494,9831,2018,2021-11-24T03:30:00.000Z,STAPLES Center,LA Clippers,16,Dallas Mavericks,8,104,112,Kane Fitzgerald,Scott Twardoski,Natalie Sago,,,
495,9832,2018,2021-11-25T00:00:00.000Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,7,Phoenix Suns,28,115,120,Sean Corbin,Ray Acosta,Suyash Mehta,,,
496,9833,2018,2021-11-25T00:00:00.000Z,Gainbridge Fieldhouse,Indiana Pacers,15,Los Angeles Lakers,17,116,124,Rodney Mott,Karl Lane,Matt Kallio,,,
497,9834,2018,2021-11-25T00:00:00.000Z,Amway Center,Orlando Magic,26,Charlotte Hornets,5,99,106,Matt Myers,Lauren Holtkamp,Tyler Ford,,,
498,9835,2018,2021-11-25T00:30:00.000Z,TD Garden,Boston Celtics,2,Brooklyn Nets,4,104,123,Tony Brothers,Matt Boland,Evan Scott,,,
499,9836,2018,2021-11-25T01:00:00.000Z,Toyota Center,Houston Rockets,14,Chicago Bulls,6,118,113,Brent Barnaky,Tre Maddox,Phenizee Ransom,,,
500,9837,2018,2021-11-25T01:00:00.000Z,FedExForum,Memphis Grizzlies,19,Toronto Raptors,38,113,126,James Capers,Mitchell Ervin,Robert Hussey,,,
501,9838,2018,2021-11-25T01:00:00.000Z,Fiserv Forum,Milwaukee Bucks,21,Detroit Pistons,10,114,93,Bill Kennedy,Kevin Cutler,Danielle Scott,,,
502,9839,2018,2021-11-25T01:00:00.000Z,Target Center,Minnesota Timberwolves,22,Miami Heat,20,113,101,Michael Smith,Curtis Blair,Andy Nagy,,,
503,9840,2018,2021-11-25T01:00:00.000Z,Smoothie King Center,New Orleans Pelicans,23,Washington Wizards,41,127,102,Eric Lewis,Cheryl Flores,Dedric Taylor,,,
504,9841,2018,2021-11-25T01:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,Utah Jazz,40,104,110,Marc Davis,Marat Kogut,Brandon Schwab,,,
505,9842,2018,2021-11-25T01:30:00.000Z,AT&T Center,San Antonio Spurs,31,Atlanta Hawks,1,106,124,Kevin Scott,Gediminas Petraitis,Jacyn Goble,,,
506,9843,2018,2021-11-25T03:00:00.000Z,Chase Center,Golden State Warriors,11,Philadelphia 76ers,27,116,96,Kane Fitzgerald,Ben Taylor,Brandon Adair,,,
507,9844,2018,2021-11-25T03:00:00.000Z,Golden 1 Center,Sacramento Kings,30,Portland Trail Blazers,29,125,121,Derrick Collins,James Williams,Jonathan Sterling,,,
508,9845,2018,2021-11-26T20:30:00.000Z,STAPLES Center,LA Clippers,16,Detroit Pistons,10,107,96,Brian Forte,Brandon Adair,Mousa Dagher,,,
509,9846,2018,2021-11-27T00:00:00.000Z,Spectrum Center,Charlotte Hornets,5,Minnesota Timberwolves,22,133,115,Scott Foster,Scott Wall,Robert Hussey,,,
510,9847,2018,2021-11-27T00:00:00.000Z,Madison Square Garden,New York Knicks,24,Phoenix Suns,28,97,118,Rodney Mott,Matt Boland,J.T. Orr,,,
511,9848,2018,2021-11-27T00:00:00.000Z,Amway Center,Orlando Magic,26,Chicago Bulls,6,88,123,Eric Lewis,Kevin Cutler,Jenna Reneau,,,
512,9849,2018,2021-11-27T01:00:00.000Z,Gainbridge Fieldhouse,Indiana Pacers,15,Toronto Raptors,38,114,97,Bennie Adams,Bill Kennedy,Mark Lindsay,,,
513,9850,2018,2021-11-27T01:00:00.000Z,FedExForum,Memphis Grizzlies,19,Atlanta Hawks,1,100,132,Michael Smith,Sean Wright,Danielle Scott,,,
514,9851,2018,2021-11-27T01:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,Washington Wizards,41,99,101,Derrick Collins,Marat Kogut,Tre Maddox,,,
515,9852,2018,2021-11-27T01:30:00.000Z,AT&T Center,San Antonio Spurs,31,Boston Celtics,2,96,88,Marc Davis,Lauren Holtkamp,Phenizee Ransom,,,
516,9853,2018,2021-11-27T02:00:00.000Z,Ball Arena,Denver Nuggets,9,Milwaukee Bucks,21,109,120,Josh Tiven,Gediminas Petraitis,Jonathan Sterling,,,
517,9854,2018,2021-11-27T02:00:00.000Z,Vivint Arena,Utah Jazz,40,New Orleans Pelicans,23,97,98,Derek Richardson,Kevin Scott,Justin Van Duyne,,,
518,9855,2018,2021-11-27T03:00:00.000Z,Chase Center,Golden State Warriors,11,Portland Trail Blazers,29,118,103,Leon Wood,Zach Zarba,Andy Nagy,,,
519,9856,2018,2021-11-27T03:30:00.000Z,STAPLES Center,Los Angeles Lakers,17,Sacramento Kings,30,137,141,David Guthrie,Brett Nansel,Ben Taylor,,,
520,9857,2018,2021-11-27T23:00:00.000Z,Wells Fargo Center,Philadelphia 76ers,27,Minnesota Timberwolves,22,120,121,Sean Corbin,Mitchell Ervin,Jacyn Goble,,,
521,9858,2018,2021-11-28T00:30:00.000Z,State Farm Arena,Atlanta Hawks,1,New York Knicks,24,90,99,Ed Malloy,Kevin Cutler,Jenna Reneau,,,
522,9859,2018,2021-11-28T00:30:00.000Z,Barclays Center,Brooklyn Nets,4,Phoenix Suns,28,107,113,JB DeRosa,Pat Fraher,Aaron Smith,,,
523,9860,2018,2021-11-28T01:00:00.000Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,7,Orlando Magic,26,105,92,James Capers,Tom Washington,Evan Scott,,,
524,9861,2018,2021-11-28T01:00:00.000Z,United Center,Chicago Bulls,6,Miami Heat,20,104,107,James Williams,Dedric Taylor,Danielle Scott,,,
525,9862,2018,2021-11-28T01:00:00.000Z,Toyota Center,Houston Rockets,14,Charlotte Hornets,5,146,143,Courtney Kirkland,Ray Acosta,Jenna Schroeder,,,
526,9863,2018,2021-11-28T01:30:00.000Z,American Airlines Center,Dallas Mavericks,8,Washington Wizards,41,114,120,John Goble,Karl Lane,Brandon Schwab,,,
527,9864,2018,2021-11-28T02:00:00.000Z,Vivint Arena,Utah Jazz,40,New Orleans Pelicans,23,127,105,David Guthrie,Ben Taylor,Jonathan Sterling,,,
528,9865,2018,2021-11-28T20:30:00.000Z,STAPLES Center,LA Clippers,16,Golden State Warriors,11,90,105,Brian Forte,Kevin Scott,Gediminas Petraitis,,,
529,9866,2018,2021-11-28T22:00:00.000Z,Gainbridge Fieldhouse,Indiana Pacers,15,Milwaukee Bucks,21,100,118,Scott Wall,Sean Wright,Robert Hussey,,,
530,9867,2018,2021-11-28T23:00:00.000Z,Scotiabank Arena,Toronto Raptors,38,Boston Celtics,2,97,109,Scott Foster,Michael Smith,Dannica Mosher,,,
531,9868,2018,2021-11-28T23:00:00.000Z,FedExForum,Memphis Grizzlies,19,Sacramento Kings,30,128,101,Brent Barnaky,Tre Maddox,Lauren Holtkamp,,,
532,9869,2018,2021-11-29T02:30:00.000Z,STAPLES Center,Los Angeles Lakers,17,Detroit Pistons,10,110,106,Derek Richardson,Zach Zarba,Andy Nagy,,,
533,9870,2018,2021-11-30T00:00:00.000Z,Wells Fargo Center,Philadelphia 76ers,27,Orlando Magic,26,101,96,Matt Boland,Curtis Blair,Nick Buchert,,,
534,9871,2018,2021-11-30T00:30:00.000Z,FTX Arena,Miami Heat,20,Denver Nuggets,9,111,120,Pat Fraher,Kevin Cutler,Aaron Smith,,,
535,9872,2018,2021-11-30T01:00:00.000Z,United Center,Chicago Bulls,6,Charlotte Hornets,5,133,119,Tony Brothers,Suyash Mehta,Jacyn Goble,,,
536,9940,2018,2021-12-09T01:00:00.000Z,Smoothie King Center,New Orleans Pelicans,23,Denver Nuggets,9,114,120,Zach Zarba,Brian Forte,Lauren Holtkamp,,,
537,9941,2018,2021-12-09T03:00:00.000Z,Chase Center,Golden State Warriors,11,Portland Trail Blazers,29,104,94,Scott Foster,Curtis Blair,Justin Van Duyne,,,
538,9988,2018,2021-12-16T01:30:00.000Z,AT&T Center,San Antonio Spurs,31,Charlotte Hornets,5,115,131,Tony Brothers,Gediminas Petraitis,John Conley,,,
539,10007,2018,2021-12-19T00:30:00.000Z,Barclays Center,Brooklyn Nets,4,Orlando Magic,26,93,100,Derrick Collins,Kevin Scott,Evan Scott,,,
540,10008,2018,2021-12-19T00:30:00.000Z,Scotiabank Arena,Toronto Raptors,38,Golden State Warriors,11,119,100,Sean Wright,John Conley,Natalie Sago,,,
541,10009,2018,2021-12-19T01:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,LA Clippers,16,104,103,Tre Maddox,James Williams,Suyash Mehta,,,
542,10010,2018,2021-12-19T00:00:00.000Z,TD Garden,Boston Celtics,2,New York Knicks,24,114,107,Ed Malloy,Marat Kogut,Jacyn Goble,,,
543,10011,2018,2021-12-19T02:00:00.000Z,Fiserv Forum,Milwaukee Bucks,21,Cleveland Cavaliers,7,90,119,Brian Forte,Karl Lane,Jonathan Sterling,,,
544,10012,2018,2021-12-19T02:00:00.000Z,Vivint Arena,Utah Jazz,40,Washington Wizards,41,103,109,Ben Taylor,CJ Washington,Brandon Adair,,,
545,10013,2018,2021-12-20T01:00:00.000Z,United Center,Chicago Bulls,6,Los Angeles Lakers,17,115,110,Tony Brothers,Tyler Ford,Jenna Schroeder,,,
546,10014,2018,2021-12-19T23:00:00.000Z,Little Caesars Arena,Detroit Pistons,10,Miami Heat,20,100,90,Sean Corbin,Dedric Taylor,Phenizee Ransom,,,
547,10015,2018,2021-12-19T23:00:00.000Z,FedExForum,Memphis Grizzlies,19,Portland Trail Blazers,29,100,105,Michael Smith,Curtis Blair,Mitchell Ervin,,,
548,10016,2018,2021-12-19T23:00:00.000Z,Golden 1 Center,Sacramento Kings,30,San Antonio Spurs,31,121,114,Leon Wood,Marc Davis,John Butler,,,
549,10017,2018,2022-03-31T23:30:00.000Z,State Farm Arena,Atlanta Hawks,1,Cleveland Cavaliers,7,131,107,Courtney Kirkland,Tre Maddox,Ray Acosta,0,0,
550,10018,2018,2022-01-27T01:00:00.000Z,Barclays Center,Brooklyn Nets,4,Denver Nuggets,9,118,124,Derek Richardson,Sean Wright,Ray Acosta,8,15,
551,10019,2018,2022-01-26T00:00:00.000Z,Wells Fargo Center,Philadelphia 76ers,27,New Orleans Pelicans,23,117,107,Mark Lindsay,Ben Taylor,Phenizee Ransom,11,8,
552,10020,2018,2021-12-20T01:00:00.000Z,Target Center,Minnesota Timberwolves,22,Dallas Mavericks,8,111,105,JB DeRosa,Rodney Mott,Justin Van Duyne,,,
553,10021,2018,2021-12-20T01:00:00.000Z,Footprint Center,Phoenix Suns,28,Charlotte Hornets,5,137,106,Bill Kennedy,Brent Barnaky,Zach Zarba,,,
554,10022,2018,2021-12-21T00:30:00.000Z,TD Garden,Boston Celtics,2,Philadelphia 76ers,27,103,108,Sean Wright,Marat Kogut,Suyash Mehta,,,
555,10023,2018,2022-03-05T00:30:00.000Z,Scotiabank Arena,Toronto Raptors,38,Orlando Magic,26,97,103,Karl Lane,James Williams,Jonathan Sterling,2,3,
556,10024,2018,2021-12-21T01:00:00.000Z,United Center,Chicago Bulls,6,Houston Rockets,14,133,118,James Williams,Natalie Sago,Jacyn Goble,,,
557,10025,2018,2021-12-21T01:00:00.000Z,FedExForum,Memphis Grizzlies,19,Oklahoma City Thunder,25,99,102,Kevin Scott,Aaron Smith,Brandon Schwab,,,
558,10026,2018,2021-12-21T02:00:00.000Z,Vivint Arena,Utah Jazz,40,Charlotte Hornets,5,112,102,Pat Fraher,Brett Nansel,J.T. Orr,,,
559,10027,2018,2021-12-21T03:00:00.000Z,Chase Center,Golden State Warriors,11,Sacramento Kings,30,113,98,Ben Taylor,CJ Washington,Marc Davis,,,
560,10028,2018,2021-12-21T03:30:00.000Z,STAPLES Center,LA Clippers,16,San Antonio Spurs,31,92,116,Josh Tiven,Scott Twardoski,Brandon Adair,,,
561,10029,2018,2022-02-18T00:30:00.000Z,Barclays Center,Brooklyn Nets,4,Washington Wizards,41,103,117,James Capers,Marat Kogut,Scott Twardoski,9,10,
562,10030,2018,2021-12-22T00:30:00.000Z,FTX Arena,Miami Heat,20,Indiana Pacers,15,125,96,Curtis Blair,Kane Fitzgerald,Nick Buchert,,,
